Filename,Execution Time,Found VC,Solution VC,Finished?,Correct?,Recursive Steps,
000004_000000000004.input,0.005613088607788086,0,0,True,True,0
000002_000000000002.input,0.0044443607330322266,0,0,True,True,0
000008_000000000009.input,0.004516124725341797,1,1,True,True,2
000006_000000000007.input,0.003880023956298828,1,1,True,True,2
000010_000000000012.input,0.004060268402099609,2,2,True,True,4
000012_000000000014.input,0.0038318634033203125,1,1,True,True,2
000014_000000000016.input,0.003944873809814453,2,2,True,True,4
000002_000000000006.input,0.003778696060180664,1,1,True,True,2
000016_000000000019.input,0.0036041736602783203,1,1,True,True,2
000018_000000000021.input,0.003594636917114258,2,2,True,True,4
000024_000000000028.input,0.003908872604370117,4,4,True,True,8
000022_000000000026.input,0.003957986831665039,3,3,True,True,6
000020_000000000024.input,0.004313945770263672,2,2,True,True,4
000026_000000000031.input,0.004230499267578125,5,5,True,True,10
000004_000000000012.input,0.0043909549713134766,4,4,True,True,8
000035_000000000042.input,0.004622459411621094,6,6,True,True,12
000028_000000000033.input,0.004539012908935547,4,4,True,True,8
000002_000000000012.input,0.005550861358642578,2,2,True,True,4
000030_000000000036.input,0.004415988922119141,5,5,True,True,10
000045_000000000054.input,0.00518345832824707,6,6,True,True,12
000006_000000000018.input,0.004865884780883789,4,4,True,True,8
000060_000000000072.input,0.00685429573059082,10,10,True,True,20
000050_000000000060.input,0.006003379821777344,9,9,True,True,18
000008_000000000024.input,0.0053212642669677734,5,5,True,True,10
000055_000000000066.input,0.005960226058959961,8,8,True,True,16
000002_000000000020.input,0.00416254997253418,2,2,True,True,4
000004_000000000024.input,0.005220174789428711,4,4,True,True,8
000010_000000000030.input,0.007375955581665039,8,8,True,True,16
000040_000000000048.input,0.007865428924560547,7,7,True,True,14
000065_000000000078.input,0.00886392593383789,11,11,True,True,22
000070_000000000084.input,0.0071642398834228516,12,12,True,True,24
000012_000000000036.input,0.008656740188598633,10,10,True,True,20
000080_000000000096.input,0.01102590560913086,13,13,True,True,25
000006_000000000036.input,0.00888514518737793,4,4,True,True,8
000014_000000000042.input,0.01081538200378418,8,8,True,True,16
000016_000000000048.input,0.015843868255615234,11,11,True,True,22
000004_000000000040.input,0.013748645782470703,4,4,True,True,8
000075_000000000090.input,0.01463007926940918,13,13,True,True,26
000008_000000000048.input,0.012246131896972656,7,7,True,True,14
000018_000000000054.input,0.01931929588317871,11,11,True,True,22
000085_000000000102.input,0.0232393741607666,16,16,True,True,32
000020_000000000060.input,0.024196386337280273,15,15,True,True,30
000090_000000000108.input,0.02050638198852539,17,17,True,True,33
000022_000000000066.input,0.03056955337524414,15,15,True,True,30
000010_000000000060.input,0.025741100311279297,10,10,True,True,20
000006_000000000060.input,0.011357307434082031,5,5,True,True,10
000024_000000000072.input,0.024658203125,12,12,True,True,24
000026_000000000078.input,0.047290802001953125,20,20,True,True,40
000012_000000000072.input,0.030285358428955078,11,11,True,True,22
000095_000000000114.input,0.029037952423095703,18,18,True,True,36
000028_000000000084.input,0.05748915672302246,20,20,True,True,40
000100_000000000120.input,0.02635669708251953,20,20,True,True,40
000008_000000000080.input,0.02362966537475586,7,7,True,True,14
000030_000000000090.input,0.056711435317993164,21,21,True,True,42
000014_000000000084.input,0.0433197021484375,13,13,True,True,26
000016_000000000096.input,0.06091594696044922,15,15,True,True,30
000035_000000000105.input,0.09445977210998535,26,26,True,True,52
000010_000000000100.input,0.05078125,10,10,True,True,20
000018_000000000108.input,0.07567405700683594,15,15,True,True,30
000012_000000000120.input,0.0816798210144043,11,11,True,True,22
000020_000000000120.input,0.11161470413208008,18,18,True,True,36
000040_000000000120.input,0.14052629470825195,30,30,True,True,60
000022_000000000132.input,0.1355433464050293,19,19,True,True,38
000014_000000000140.input,0.11666440963745117,13,13,True,True,26
000024_000000000144.input,0.19632887840270996,22,22,True,True,44
000045_000000000135.input,0.19381356239318848,32,32,True,True,64
000026_000000000156.input,0.22102618217468262,23,23,True,True,46
000016_000000000160.input,0.17109346389770508,15,15,True,True,30
000050_000000000150.input,0.31179189682006836,42,42,True,True,84
000028_000000000168.input,0.30478954315185547,26,26,True,True,52
000018_000000000180.input,0.23819565773010254,17,17,True,True,34
000055_000000000165.input,0.346649169921875,39,39,True,True,78
000030_000000000180.input,0.35558176040649414,27,27,True,True,54
000060_000000000180.input,0.4342989921569824,43,43,True,True,86
000020_000000000200.input,0.3037137985229492,18,18,True,True,36
000200_000000000240.input,0.2344059944152832,38,38,True,True,76
000035_000000000210.input,0.4402179718017578,26,26,True,True,52
000022_000000000220.input,0.3986780643463135,20,20,True,True,40
000065_000000000195.input,0.5883619785308838,49,49,True,True,98
000024_000000000240.input,0.6049375534057617,22,22,True,True,44
000026_000000000260.input,0.7030196189880371,25,25,True,True,50
000040_000000000240.input,0.7879705429077148,35,35,True,True,70
000028_000000000280.input,0.7081551551818848,22,22,True,True,44
000070_000000000210.input,0.798588752746582,56,56,True,True,109
000045_000000000270.input,1.1214511394500732,39,39,True,True,78
000030_000000000300.input,0.9192516803741455,25,25,True,True,50
000075_000000000225.input,1.097585916519165,58,58,True,True,128
000080_000000000240.input,1.1711227893829346,62,62,True,True,123
000050_000000000300.input,1.7048912048339844,46,46,True,True,92
000035_000000000350.input,1.7443091869354248,34,34,True,True,68
000085_000000000255.input,1.2843663692474365,66,66,True,True,123
000055_000000000330.input,2.0434532165527344,48,48,True,True,96
000090_000000000270.input,2.512986421585083,70,70,True,True,210
000040_000000000400.input,2.3309483528137207,36,36,True,True,72
000060_000000000360.input,2.531803846359253,50,50,True,True,100
000300_000000000360.input,1.2338924407958984,58,58,True,True,120
000095_000000000285.input,2.121182680130005,78,78,True,True,153
000100_000000000300.input,2.657400608062744,86,86,True,True,171
000045_000000000450.input,3.240483045578003,40,40,True,True,80
000070_000000000420.input,4.126589775085449,60,60,True,True,120
000065_000000000390.input,3.6002278327941895,59,59,True,True,118
000050_000000000500.input,4.774607181549072,47,47,True,True,94
000400_000000000480.input,3.2914867401123047,78,78,True,True,184
000055_000000000550.input,5.999500513076782,49,49,True,True,98
000075_000000000450.input,5.393213748931885,68,68,True,True,136
000080_000000000480.input,6.740828990936279,73,73,True,True,146
000060_000000000600.input,7.884068250656128,53,53,True,True,106
000090_000000000540.input,8.807528018951416,78,78,True,True,156
000085_000000000510.input,7.777254581451416,76,76,True,True,152
000065_000000000650.input,10.860833168029785,63,63,True,True,126
000095_000000000570.input,10.973795652389526,86,86,True,True,172
000070_000000000700.input,13.438639640808105,67,67,True,True,134
000100_000000000600.input,13.724289655685425,95,95,True,True,190
000075_000000000750.input,16.147266626358032,70,70,True,True,140
000080_000000000800.input,20.61276149749756,77,77,True,True,154
000500_000000000600.input,8.891781330108643,100,100,True,True,200
000085_000000000850.input,25.106287240982056,82,82,True,True,164
000090_000000000900.input,28.335564136505127,85,85,True,True,170
000095_000000000950.input,32.77934813499451,87,87,True,True,174
000200_000000000600.input,29.688618898391724,178,178,True,True,503
000600_000000000720.input,15.501168251037598,119,119,True,True,240
000100_000000001000.input,40.29595685005188,96,96,True,True,192
000700_000000000840.input,27.618300914764404,140,140,True,True,280
000800_000000000960.input,46.58088564872742,160,160,True,True,320
000900_000000001080.input,61.400081157684326,180,180,True,True,360
000300_000000000900.input,124.3416748046875,283,283,True,True,844
000200_000000001200.input,115.53952431678772,194,194,True,True,388
001000_000000001200.input,87.15908288955688,199,199,True,True,398
000400_000000001200.input,300.0,None,None,False,False,None
000200_000000002000.input,300.0,None,None,False,False,None
000300_000000001800.input,300.0,None,None,False,False,None
000500_000000001500.input,300.0,None,None,False,False,None
000600_000000001800.input,300.0,None,None,False,False,None
000300_000000003000.input,300.0,None,None,False,False,None
000400_000000002400.input,300.0,None,None,False,False,None
000700_000000002100.input,300.0,None,None,False,False,None
000800_000000002400.input,300.0,None,None,False,False,None
000500_000000003000.input,300.0,None,None,False,False,None
